retinal_trait	disease	direction	status	reason
ret_ven_tort	sys_ad_kunkle2019	sys_ad_kunkle2019_to_ret_ven_tort	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_pd_nalls2019_clinical	ret_ven_tort_to_sys_pd_nalls2019_clinical	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_pd_nalls2019_clinical	sys_pd_nalls2019_clinical_to_ret_ven_tort	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_sle_bentham2015	ret_ven_tort_to_sys_sle_bentham2015	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_sle_bentham2015	sys_sle_bentham2015_to_ret_ven_tort	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_ibd_delange2017	ret_ven_tort_to_sys_ibd_delange2017	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_ven_tort	sys_ibd_delange2017	sys_ibd_delange2017_to_ret_ven_tort	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_crae	sys_cad_nikpay2015	ret_crae_to_sys_cad_nikpay2015	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_crae	sys_cad_nikpay2015	sys_cad_nikpay2015_to_ret_crae	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
ret_crae	sys_stroke_megastroke2018	ret_crae_to_sys_stroke_megastroke2018	NOT_ANALYSED_FREQUENCY_SEMANTICS_UNRESOLVED	UNRESOLVED_RELEASE_SPECIFIC_ALLELE_FREQUENCY_SEMANTICS
